0
Aayi Re Aayi Re Khushi
Aazmale Aazmale
Ab Ke Baras Bhejo Bhaiya
Ab Mujhe Koi
Ab Mujhko Jeena
Ab Se Teri
Ab Tere Bin
Ab Tohe Jane Na Doongi
Abhagi Piya Ki
Abhi Abhi
Abhi Kuch Dino Se
Abhi Mujh Mein Kahin
"Abhi Mujh Mein Kahin (From ""Agneepath"")"
Abhi Toh Party Shuru Hui Hai
"Abhi Toh Party Shuru Hui Hai (From ""Khoobsurat"")"
Accident Ho Gaya
Achha Lagta Hai
Action Jackson
Ada
"Ada (From ""Garam Masala"")"
Adhoore
Adhoore Tum Adhoore Hum
Adhura Lafz
Ae Ajnabi
"Ae Ajnabi (From ""Dil Se"")"
Ae Baby Ae Jee Idhar Aao
Ae Bhai Zara Dekh Ke Chalo
Ae Dil Hai Mushkil
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")"
Ae Dil Pyar Ki Manzil
Ae Ishq Yeh Sab Duniyawale
Ae Mere Humsafar
Ae Mohabbat Zindabad
Ae Watan
Ae Watan Ae Watan Humko Teri Qasam
"Ae Zindagi Gale Laga Le - Take, 1"
Afeemi
Afghan Jalebi (Film Version)
Afreen Afreen (Coke Studio Season 9)
Afsana
Aga Bhai
Agar Main Kahoon
Agar Tu Hota
Agar Tum Mil Jao
"Agar Tum Mil Jao - From ""Zeher"""
Agar Tum Saath Ho
"Agar Tum Saath Ho (From ""Tamasha"")"
Agar Tum Saath Ho / Treat You Better
Agg Lage Aaj Kal De Fashion Nu
Aha Aha
Aila Re Aila
"Aila Re Aillaa (From ""Sooryavanshi"")"
Ainvayi Ainvayi
Ainvayi Ainvayi (Dilli Club Mix)
Aisa Deewana
Aisa Des Hai Mera
Aisa Jadoo
Aisa Kyoon Hota Hai
Aisa Kyun Maa
Aise Na Mujhe Tum Dekho
Aisi Deewangi
Aiyo Ji
Ajab Leher Hai Meri
Ajab Si
Ajeeb Dastaan Hai Yeh
Ajib Dastan Hai Yeh
Ajj Din Chadheya
Ajnabi
Ajnabi Mujhko Itna Bata
Ajnabi Shehar
Akh Lad Jaaye
Akhiyaan Milaoon Kabhi
Akkad Bakkad
Akkha India Janta Hai
Ala Barfi
Albela Sajan
Alcholic (Remix)
Alcoholic
Alfazon Ki Tarah (Unplugged)
Ali Ali  Qawwali
Ali Maula
Alif Zaber Aa
Alisha
Alizeh
All Izz Well
All The Best
Allah Duhai Hai
Allah Hafiz
Allah Hi Reham
Allah Kare Dil Na Lage
Allah Ke Bande
Allah Ke Bande - Live
Allah Maaf Kare
Alvida
Ambarsariya
Amplifier
Anandoloke
Anarkali Disco Chali
Andaz Mera Mastana
Andekhi Anjaani
Andha Dhun
Ang Lag Ja Balma
Ang Laga De
Ang Se Ang Lagana
Angelina
Angreji Beat
Anjaana Anjaani Ki Kahani
Ankahee
Ankhe Nam Nam
Ankhiyaan
Ankhiyon Se Goli Mare
Ankhon Se Tune Yeh Kya
Apna Time Aayega
Apni Bhi Kya Zindagi Hai
Apni To Har Aah
Apni To Jaise Taise
"Apni To Jaise Taise - From ""Laawaris"""
Apni To Jaise Taise - With Dialogue
Apni Ulfat Pe Zamane Ka
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")"
Are Diwano Mujhe Pehchano
"Are Diwano Mujhe Pehchano - From ""Don"""
Are Re Are
Are Re Are (Part-2)
Ari Ari (Part 2)
Arre Yaaro Mere Pyaaro
Arziyan
Asalaam-E-Ishqum
Assalaam Vaalekum
Aur Is Dil Mein
Aur Kya
Auva Auva Koi Yahan Nache
Awaara
Awaara Ho
Awaarapan Banjarapan
Awaaz Deke
Awara Hoon
Ay Hairathe
Ay Sakhi
Ayaashi
Aye Dil Laaya Hai Bahaar
Aye Khuda
Aye Khuda (Duet)
Aye Manya
Aye Meri Zindagi  Male Version
Aye Meri Zohra Jabeen
Aye Udi Udi Udi
Aye Watan Aye Watan
Aye Watan Tere Liye
Aye Zindagi Gale Lagaa Le
Azmale Ye Formulae
Baadal
Baadalon Mein Chup Raha Chand
Baaki Baatein Peene Baad (Shots) (feat. Badshah)
Baap Ki Kasam
Baari Barsi
Baarish
Baarish (Atif Aslam)
Baarish Ki Jaaye
Baarish Mein Tum
Baarishein
Baat Ban Jaaye
Baatein Kuch Ankahee
Baatein Ye Kabhi Na (Female)
Baaton Baaton Main
Baawra
Baawre
Baba Bolta Hain Bas Ho Gaya
Baba Meri Yeh Jawani
Babbe Mast
Babuji Zara Dheere Chalo
Babul Pyare
Baby Doll
"Baby Doll (From ""Ragini Mms 2"")"
Baby Doll (Remix)
Baby Ko Bass Pasand Hai
Bach Ke Rehna (Red Notice)
Bachalo Bachalo
Bachna Ae Haseeno
Bad Baby
Bad Boy X Bad Girl (feat. Nikhita Gandhi)
Badal Pe Paon Hai
Badan Juda Hote Hain
Badan Pe Sitaare
Badass Babuaa
Bade Armanon Se
Bade Miyan Chote Miyan
Badi Dheere Jali
Badi Mushkil Hai
Badlapur
Badle Badle Mere Sarkar
Badnaamiyan
Badri Ki Dulhania
Badri Ki Dulhania (Title Track)
"Badri Ki Dulhania (Title Track) [From ""Badrinath Ki Dulhania""]"
Badtameez Dil
Bahara
"Bahara (From ""I Hate Luv Storys"") - Chill Version"
Bahara X
Bahon Ke Darmiyan - Khamoshi - The Musical / Soundtrack Version
Bahut Pyar Karte Hai (Male Version)
Bakheda
Bakhuda Tumhi Ho
"Bakhuda Tumhi Ho (From ""Kismat Konnection"")"
Balam Pichkari
Balam Se Milan Hoga
Balma
Balma Tum Balma Ho Mere Khali
Bam Lahiri
Bambai Se Aaya Mera Dost
Ban Dance Mein Kutta
Ban Ja Rani
Bana Ke Kyon Bigada Re
Banarasiya
Band Baaja Baaraat Mashup
Banda Parwar
Bande Mein Tha Dum Vande Mataram
Bandeh
Bandeya
"Bandeya (feat. Arijit Singh) - From ""Dil Juunglee"""
Bandeyaa
Bang Bang
Banjaara
"Banjaara (From ""Ek Villain"")"
Banke Tera Jogi
Banna Re
"Banno (From ""Tannu Weds Manu Returns"")"
Barbaad Raat
Barbaadiyan
Barsaat Ke Mausam Mein
Barso Re
"Barso Re (From ""Guru"")"
Bas Ek Kinng
"Bas Ek Pal (From ""Bas Ek Pal"")"
Bas Tu Hai
Bass Gira De Raja
Bawara Mann
Bawla Sa Sapna
Be Intehaan
"Be Intehaan (From ""Race 2"")"
Beat It Bijuriya
Beat Juunglee
Beat Pe Booty
Bebo
Bechayan Sapne
Bedardi Mere Saiyan
Beech Beech Mein
Beedi
"Beedi (From ""Omkara"")"
Beete Lamhein
Befikra
Behene De
Behka
Behti Hawa Sa Tha Woh
Bekarar
Bekarar Karke Hume
Bekas Pe Karam Kijiye
"Bekhayali (From ""Kabir Singh"")"
Bekhudi
Beliya
Beparwah
Besabriyaan
"Besharam Rang (From ""Pathaan"")"
Besharmi Ki Height
Besharmi Ki Height (Remix)
Bewafa
Bewafa Beauty
Bewajah
Bezubaan
Bhaag Milkha Bhaag
Bhaag Milkha Bhaag - Rock Version
Bhaag Milky Bhaag
Bhaage Re Mann
Bhagwan Ek Qasoor Ki
Bhangda Pa
Bhangra Bistar
Bhangra Ta Sajda
Bhanware Ne Khilaya Phool
Bhar Do Jholi Meri
Bharat Humko Jaan Se Pyara Hai
Bhare Bazaar
Bheege Hont Tere
Bheegey Hont
Bheegh Loon (Male)
Bheegi Bheegi
Bheegi Bheegi Raton Mein
Bheegi Si Bhaagi Si
Bholi Si Surat
Bhool Bhulaiyaa
Bhool Bhulaiyaa 2 Title Track
"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")"
Bhool Ja
Bhooli Bisri Ek Kahani
Bhoot Aaya
Bichdann
Bijlee Bijee - Remix
Bijlee Bijlee
Bijlee Bijlee - Female Version
Billionaire
Bin Tere
Bin Tere - Reprise
"Bin Tere Sanam (From ""Yaara Dildara"")"
Binte Dil
Bipasha
Birthday Bash
Bismil
Bismillah
Black Jama Hai
Bloody Hell
Blue (Theme)
Blue Eyes
Bodyguard
Boi Boi
Bol Beliya
Bol Do Na Zara
"Bol Do Na Zara (From ""Azhar"")"
Bol Na Halke Halke
Bol Radha Bol
Bola Har Har Har
Bole Chudiyan
Bolna
"Bolna (From ""Kapoor & Sons (Since 1921)"")"
Bolo Har Har Har
Bom Diggy
Bom Diggy Diggy
Boombai Nagariya
Boond Boond
Boro Boro
Boss Entry  Theme
Boss Title Track
Breathless
Breathless [Album - Breathless '98]
Brothers Mashup
Buddhu Sa Mann
Bulleya
"Bulleya (From ""Ae Dil Hai Mushkil"")"
"Bulleya (From ""Ae Dil Hai Mushkil"") - Reprise"
Bum Bum Bole
Bum Mein Dum
"Bumbro (From ""Mission Kashmir"")"
Bumbro Bumbro
Busy Getting Paid
Butterfly
Bye Bye Miss Good Night
CANDY (Hindi)
Capuchino
Catch Me If U Can
Chaand Baaliyan
Chaand Ka Chilka (Peel of the Moon)
Chaand Taare
"Chaand Taare (From ""Yes Boss"")"
Chaandaniya
Chaar Botal Vodka
Chaar Botal Vodka (Remix)
Chaar Dina Ki
Chaar Kadam
Chaar Shanivaar
Chad Gayi Hai
Chahat Se Hai Begani
Chahe Zubaan
Chahoon Bhi
Chahun Main Ya Naa
Chaiyya Chaiyya
"Chaiyya Chaiyya (From ""Dil Se"")"
Chak De
Chak De India
Chak Lein De
Chaka Chak
Chal Akela Chal Akela
Chal Jhoothi
Chal Wahan Jaate Hain
"Chala Jata Hoon (From ""Mere Jeevan Saathi"")"
"Chala Jata Hoon - From ""Mere Jeevan Saathi"""
Chalak Chalak
Chale Chalo
Chali Kahani
Challa
Challa Chaap Chunariya
Chalo Dildar Chalo
Chalo Ek Bar Phir Se
Chalte Chalte
Chalti Hai Kya 9 Se 12
Cham Cham
Chamak Challo Chel Chabeli
Chamakti Shaam Hai
Chamma Chamma
Chammak Challo
Chammak Challo (Remix)
Chanchal Mann Ati Random
Chand Si Mehbooba Ho Meri
Chand Sifarish
Chand Sitare
Chandan Sa Badan
Chandni O Meri Chandni
Chandralekha
Channa Mereya
"Channa Mereya (From ""Ae Dil Hai Mushkil"")"
Channa Mereya - Unplugged
Channa Ve Channa
Channa Vey
Char Baj Gaye (Party Abhi Baaki Hai)
Char Baj Gaye - Party Abhi Baaki Hai
Character Dheela
"Character Dheela 2.0 (From ""Shehzada"")"
Chaska
Chaudhvin Ka Chand
Cheez Badi
Chennai Express Mashup
Chhad Zid Karna
Chhaliya
Chhalka Chhalka Re
Chhan Ke Mohalla
Chheda Mera Dil Ne Tarana
Chhil Gaye Naina
Chhod Diya
Chhod Do Aanchal Zamana Kya Kahega
Chhote Chhote Peg
Chhote Chhote Peg (Remix)
Chhoti Chhoti Raatein
"Chhu Kar Mere Manko - From ""Yaarana"""
Chhupana Bhi Nahin Aata
Chichora Piya
Chicken Kuk Doo Koo
Chidiya
Chikini Chameli (Remix)
Chikni Chameli
Chin Chin Chu
Chingari Koi Bhadke
"Chingari Koi Bhadke - From ""Amar Prem"""
Chitta Ve
Chitthi Aai Hai
Chittiyaan Kalaiyaan
Chittiyaan Kalaiyaan (Remix)
Chodo Kal Ki Batein
Chogada
"Chogada (From ""Loveyatri"")"
Chokra Jawaan
Choli Ke Peeche Kya Hai (Female)
Chookar Mere Man Ko
Chor Bazari
"Chor Bazari (From ""Love Aaj Kal "")"
Chori Chori Chori Se
Chori Chori Chupke Chupke
Chori Chori Dil Le Gaya
Chot Dil Pe Lagi
Chot Lage Tujhko  Sad
Chota Sa Fasana
Chote Bade
Chote Chote Bhaiyon Ke Bade Bhaiya
Chuee Muee
Chugliyaan
Chupke Chupke Ghoor Na Mujhko
Chupke Se
Chupke Se Sun
Chura Liya Hai
Chura Liya Hai Tumne
"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")"
"Chura Liya Hai Tumne Jo Dil Ko - From ""Yaadon Ki Baaraat"""
Chura Lo Dil Mera
Churao Na Dil
Churiyan Kanak Gayee
Coca Cola
Cocktail Mashup
Confused Lover
Crazy Kiya Re
Cutiepie
Da Da Dasse
Daag
Daagh Na Lag Jaye
Daaru Band Kal Se
Daaru Desi
"Daaru Desi (From ""Cocktail"")"
Daaru Wargi
Daata Tu
Daawat e Ishq
Daayre
Daddy Mummy
Dagabaaz Re
Dagabaaz Tori Batiyan
Dagariyo Chalo
Daiya Daiya Daiya Re
Daiyya Maiyya
Dam Bhar Jo Udhar Munh Phere
Dance Basanti
"Dance Basanti (From ""Ungli"")"
Dance Basanti (Remix)
Dance Meri Rani
Dance Pe Chance
Dancing Jodi
Dangal
Danka Bajega
Dar Pe Aaye Hain Tere Kasam Le
Darasal
"Darasal (From ""Raabta"")"
Darbadar
Dard Dilo Ke  (Reprise)
Dard Ka Pata
Dard Karaara
Dariya Ho
Daryaa
Dastaan-e-Om Shanti Om
De De Jagah
De De Pyaar De
De Di Azadi Hamen Bina
Deewana Hai Dekho
"Deewana Hai Dekho (From ""Kabhi Khushi Kabhie Gham"")"
Deewana Main Chala
Deewane Hai Deewanon Ko
Deewangi Deewangi
Deewani Mastani
Dekh Lena
Dekha Ek Khwab
Dekha Hai Pehli Baar
Dekha Hazaro Dafaa
"Dekha Na Haye Re - From ""Bombay to Goa"""
Dekha Tujhe Toh
Dekhen Bhi To Kya Dekhen
Dekhiye Aji Jaaneman
Dekho Bijli Dole Bin Badal Ki
Dekho Dekho Dil Ye Bole
Dekho Dekho Jaanam
Dekho Nashe Mein
Dekho Zara Kaise Balkhake Chali
Dekhte Dekhte
Der Na Ho Jaye Kahin
Der Se Aana Jaldi Jaana
Des Mere Des
Des Rangila
Desi Beat
Desi Girl
"Desi Girl (From ""Dostana"")"
Desi Look
Desi Look (Remix)
Desi Romance
Despacito - Hindi Version
Deva Deva
"Deva Deva (From ""Brahmastra"")"
Deva Shree Ganesha
Dhaakad
Dhaani
Dhadak Title Track
Dhadakne Lagta Hai Mera Dil
Dhadkane Saansein Jawani
Dhadkanein Kehti Hai
Dhai Akhar
Dhak Dhak Karne Laga
Dhal Jaun Main
Dhanak
Dhat Teri Ki
Dhating Naach
"Dhating Naach (From ""Phata Poster Nikhla Hero"")"
Dhayaan Chand
Dheemi Dheemi
Dheere Dheere (Remix)
Dheere Dheere Bol Koi Sun Na Le
Dheere Dheere Se Meri Zindagi Mein Aana
Dhik Ta Na Na  Duet
Dhiktana  2
Dhin Tak Dhin Tak
Dhingana
Dhinka Chika
Dhinka Chika (Remix)
Dhokha
Dhokha Dhadi
Dhol Baaje
Dholida
Dholna
Dhoom 3 Mashup
Dhoom Again
Dhoom Dhaam
Dhoom Dhadakka
Dhoom Machale
Dhoom Machale Dhoom
Dhoom Tana
Dhoondo Dhoondo Re Sajna
Dhoop
Dhoop Ke Makaan Sa
Dhunki
Dhup Chik
Didi Tera Devar Deewana
Dil Apna Aur Preet Parai
Dil Ashkon Mein
Dil Chahta Hai
Dil Chori
"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")"
Dil Chura Le
Dil Dance Maare
Dil Darbadar
"Dil De Diya (From ""Thank God"")"
Dil Deewana Bin Sajna Ke
Dil Dene Ki Ruth
Dil Dhadakne Do
Dil Dil Deewana
Dil Diwana
Dil Diyan Gallan
Dil Dooba
Dil Galti Kar Baitha Hai
Dil Ibaadat
Dil Jaane Jigar Tujhpe Nisar Kiya Hai
Dil Jaane Na
Dil Jalon Ka Dil Jala Ke
Dil Jo Na Keh Saka
Dil Ka Koi Tukda
Dil Ka Qaraar
Dil Ka Rishta
Dil Kehta Hai
Dil Kho Gaya
Dil Ki Hai Tamanna
Dil Ki Kahani Rang Layee Hai
Dil Ko Aaya Sukoon
"Dil Ko Karaar Aaya (From ""Sukoon"")"
Dil Kya Kare
"Dil Kya Kare (From ""Dil Kya Kare"")"
Dil Kyun Yeh Mera
Dil Laga Na
Dil Leke
Dil Luteya
Dil Me Kayi Armaan
Dil Mein Baji Pyar Ki Shehnaiyan
Dil Mein Chhupa Loonga
Dil Mein Dard Sa Jaga Hai
Dil Mein Sanam Ki Soorat
Dil Mera Churaya Kyun
Dil Mera Ek Aas Ka Panchhi
Dil Mere
Dil Meri Na Sune
"Dil Meri Na Sune - From ""Genius"""
Dil Na Diya
Dil Na Jaane Kyun
Dil Na Kahin Lagana
Dil Ne Ye Kaha Hai Dil Se
Dil Ne Yeh Kaha Hain Dil Se
"Dil Ne Yeh Kaha Hain Dil Se (From ""Dhadkan"")"
Dil Samander
Dil Se Nikal Kar Dil Ko Gayee Hain
Dil Se Re
"Dil Se Re (From ""Dil Se"")"
Dil Tadap Tadap Ke Kah Raha
Dil Tera Diwana
Dil Tham Chale Hum Aaj Kidhar
Dil To Bachcha Hai
Dil To Dete Nahin
Dil To Pagal Hai
Dil Tu Hi Bataa
Dil Vich Lagya
Dil Ye Dancer Ho Gaya
Dil Ye Ladaku
Dilbar
"Dilbar (From ""Satyameva Jayate"")"
"Dilbar Mere - From ""Satte Pe Satta"""
Dilbar Mere - Satte Pe Satta / Soundtrack Version
Dilbaro
Dilko Tumse Pyar Hua
Dillagi Main Jo Beet Jaye
Dilli Wali Girlfriend
Dilliwaali Girlfriend
Dilnashin Dilnashin
Dilrubaon Ke Jalwe
Din Dhal Gaya Hai
Din Sara Guzara Tore Angana
Ding Dang
Disco Disco
Diwani Tum Jawanon Ki
Diye Jalte Hai Phool Khilte Hai
Do Anjaane Ajnabi
Do Dil Mil Rahe Hai
Do Dilon Ke
Do Ghoont
Do Hanson Ka Joda
Do Lafzon Ki Hai Dil Ki Kahani
Do Me A Favour Lets Play Holi
Do Pal
Do Peg Maar
Dola Re Dola
"Don't Be Shy Again (From ""Bala"")"
Dooba Dooba
Dooba Re Dooba
"Doobey (From ""Gehraiyaan"")"
Door Na Ja
Doori
Doorie
Dooriyan
Dooriyan Hain Zaroori Bhi Hai
Dori
Drama Queen
"Dream Girl - From ""Dream Girl"""
Dreamum Wakeupum
Dua
Dukki Tikki
Dulhan Hum Le Jayenge
Dum Dum
Dum Dum Diga Diga
Dum Duma Dum
Dum Maaro Dum
Duniya Bananewale
"Duniyaa (From ""Luka Chuppi"")"
Dus Bahane
Dushman Dil Ka Jo
E Ajnabi
E  Gulbadan Phoolon Ki Mahek
"Eena Meena Deeka - From ""Aasha"""
Ehsaas
Ehsan Tera Hoga Mujh Par
Ek But Banaoonga
"Ek Chumma (From ""Housefull 4"")"
Ek Dafa Ek Jungle Tha
Ek Dil Ek Jaan
Ek Dil Hai
Ek Dilruba Hai
Ek Din Aap
Ek Din Bik Jayega Mati Ke Mol
Ek Din Teri Raahon
"Ek Din Teri Raahon (From ""Naqaab"")"
Ek Do Teen
Ek Do Teen Char
Ek Do Teen Song
Ek Duje Ke Vaaste
Ek Garam Chai Ki Pyali
Ek Haseena Thi
Ek Ho Gaye Hum Aur Tum - Bombay / Soundtrack Version
"Ek Ladki Bheegi Bhagi Si (From ""Chalti Ka Naam Gaadi"")"
"Ek Ladki Bheegi Bhagi Si - From ""Chalti Ka Naam Gaadi"""
Ek Ladki Ko Dekha
Ek Ladki Ko Dekha Toh Aisa Laga
Ek Lo Ek Muft
Ek Mulaqat
Ek Onkaar
Ek Pal Ka Jeena
Ek Pardesi Door Se Aaya
Ek Sawal Main Karoon
Ek Tha Tiger Mashup
Ek Thi Ladki Meri Saheli
Ek Tu Hi Bharosa
Ek Villain
Ektarfa
Engine Ki Seeti
Enna Sona
"Enna Sona (From ""OK Jaanu"")"
Enu Naam Che Raees
Every Night & Day
Exotic
F.U.N. Fun Funaa
Fake Ishq
Falak Dekhun
Falak Tu Garaj Tu
Farrata
Fashion Khatam Mujhpe
Fatal Attraction
Fevicol Se
Fevicol Se (Remix)
Filhaal2 Mohabbat
Fitoori
Flip Your Collar Back
Follow Me
Foolishq
Freak Out
Fugly Fugly Kya Hai
Fukraa
Full Jhol
G Pe Danda
G Phaad Ke (Remix)
Gaal Gulabi Kis Ke Hain
Gaaye Jaa (Male)
Gadbad Ho Gayee
Gajanana
Gal Ban Gayi
Gal Ban Gayi (Remix)
Gal Mitthi Mitthi
"Gal Mitthi Mitthi (From ""Aisha"")"
Galat Baat Hai
Gale Lag Ja
Gali Gali
Galla Goriyan  Aaja Soniye
Gallan Goodiyaan
Gallan Kardi
Galliyan
"Galliyan (From ""Ek Villain"")"
Galliyan Returns
"Galliyan Returns (From ""Ek Villain Returns"")"
Galti Se Mistake
Gandi Baat
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)"
Gawah Hai Chand Tare
Gazab Ka Hai Din
Gehra Ishq
Gela Gela Gela
Genda Phool
Gerua
"Gerua (From ""Dilwale"")"
Get Up Jawani
Ghagra
"Ghalat Fehmi - From ""Superstar"""
Ghana Kasoota (feat. Surbhi Jyoti)
Ghanan Ghanan
"Ghani Bawri (From ""Tanu Weds Manu Returns"")"
Ghar
Ghar Aaja Pardesi
"Ghodey Pe Sawaar (From ""Qala"")"
Ghoomar
Ghoonghat Ki Aadh Se
Ghoongte Mein Chanda
Ghum Shuda
"Ghungroo (From ""War"")"
Gilehriyaan
Girl I Need You
Girls Like To Swing
Give Me Some Sunshine
Glamorous Ankhiyaan
Go Go Govinda
Go Go Govinda (Reprise)
Go Pagal
Gold Tamba
Golmaal Again Title Track
Good Man Di Laaltein
Good Morning
Good Morning India
Goodnight
Gore Gore Se
Gore Mukhde Pe Zulfa Di Chaava
Gori Ghunghat Mein Mukhda
Gori Gori
Gori Gori Gori Gori
"Gori Ka Sajan, Sajan Ki Gori"
Gori Tu Latth Maar
Gori Zara Hans De Tu Hans De
Goron Ki Na Kalon Ki
Gud Naal Ishq Mitha
Gudgudi
Gudiya Rani
Guest In London
Gulaabo
Gulabi
Gulabi Aankhen
Gulon Mein Rang Bhare
Gum Hai Kisi Ke Pyar Mein
Gun Gun Guna
Gunday Mashup
Gunja Re Chandan
"Guzaarish (From ""Ghajini"")"
Guzarish
"Guzarish (From ""Ghajini"")"
Ha Raham Mehfuz
Haan Bhai Haan
"Haan Main Galat (From ""Love Aaj Kal"")"
Haan Tu Hain
Haanikaarak
Haareya
Haath Chhute Bhi
Haathon Mein Thhe Haath
Haawa Haawa
Haaye Oye (feat. Ash King)
Hafiz Hafiz
Hai Dil
Hai Hai Mirchi
Hai Isi Men Pyar Ki Abroo
Hai Jaana Hai Jaana
Hai Junoon
Hai Mera Dil
"Hai Mera Dil (From ""Josh"")"
Hai Rama
Hai Re Hai Re
Haila Haila
Hairat
Hale Dil
Halka Halka
Halkat Jawani
Halla Re
Halo Re
Ham The Jinke Sahare
"Ham The Woh Thi (From ""Chalti Ka Naam Gaadi"")"
Hamare Gaon Koi
Hamari Adhuri Kahani
Hamari Adhuri Kahani (Title Track)
"Hamari Adhuri Kahani (Title Track) [From ""Hamari Adhuri Kahani""]"
Hamari Shaadi Mein
Hamdam Mere
Hamdard
Hamesha Tumko Chaha
Hangover
Hans Mat Pagli
Happy Budday
Happy Ending
Happy Ending Mashup
Happy Happy
Har Dil Jo Pyar Karega
Har Ek Friend Kamina Hota Hai
Har Har Gange
Har Subah
Har Subah Yaad Rakhna
Hard Hard
Hare Krishna Hare Ram
Harry Is Not Bhramchari
Haseeno Ka Deewana
Haseeno Ko Aate Hain
Haseenon Ki Sawari Hai
Hasi
Hasi - Female Version
Hasi - Male Version
Hasi Ban Gaye
Hass Nache Le
Hatt Ja Tau
Haule Haule (Remix)
Hauli Hauli
Hawa Hawa
Hawa Hawai
Hawa Hawai 2.0
Hawayein
"Hawayein (From ""Jab Harry Met Sejal"")"
Hawayein - Film Version
Hay Re Insaan Ki Majbooriya
Heer
Heer Badnaam
Heer Ranjha
Heeriye
Helicopter
Hello Hello
Hey Ooi Amma Ooi Amma
Hey Shona
Hey Ya I See You Walking
High Heels
High Heels Te Nachche
"High Heels Te Nachche (From ""Ki & Ka"")"
High Heels Te Nachche (Remix)
High Rated Gabru
High Rated Gabru  Nawabzaade
Hind Mere Jind
Hip Hip Huraah
Hip Hop Pammi
Hiyate Mur
Ho Gaya Hai Tujhko To Pyar Sajna
"Ho Gaya Hai Tujhko To Pyar Sajna - From ""Dilwale Dulhania Le Jayenge"""
Ho Jayegi Balle Balle
Ho Maine Pyar Kiya
Ho Nahi Sakta
Ho Sarkay Leo Khattiya Jada Lage
Holi Aayi Re
Holi Biraj Ma
"Holi Ke Din - Dialogue/From “Sholay Songs And Dialogues, Vol. 1” Soundtrack"
Holi Khelein
Hona Hai Kya
Hona Tha Pyar
Honeymoon Ki Raat
Hookah Bar
Hookah Bar (Remix)
Hoor
Hori Khele Raghuveera
Horn OK Please
Hosanna
Hoshwalon Ko Khabar Kya
Hu Ba Hu
Hua Hain Aaj Pehli Baar
"Hua Hain Aaj Pehli Baar (From ""Sanam Re"")"
